Date,Close
1/2/2015 ,93.75
1/5/2015 ,92.38
1/6/2015 ,91.89
1/7/2015 ,92.83
1/8/2015 ,93.79
1/9/2015 ,94.25
1/12/2015 ,94.46
1/13/2015 ,95.19
1/14/2015 ,94.23
1/15/2015 ,94.35
1/16/2015 ,95.18
1/20/2015 ,94.74
1/21/2015 ,94.17
1/22/2015 ,95.15
1/23/2015 ,94.72
1/26/2015 ,94.97
1/27/2015 ,93.97
1/28/2015 ,92.67
1/29/2015 ,93.22
1/30/2015 ,90.96
2/2/2015 ,91.93
2/3/2015 ,94.1
2/4/2015 ,101.28
2/5/2015 ,102.64
2/6/2015 ,102.02
2/9/2015 ,101.73
2/10/2015 ,101.92
2/11/2015 ,101.87
2/12/2015 ,103.58
2/13/2015 ,104.17
2/17/2015 ,104.12
2/18/2015 ,103.86
2/19/2015 ,103.89
2/20/2015 ,104.55
2/23/2015 ,104.99
2/24/2015 ,104.67
2/25/2015 ,105.57
2/26/2015 ,104.56
2/27/2015 ,104.08
3/2/2015 ,105.89
3/3/2015 ,106.35
3/4/2015 ,105.57
3/5/2015 ,105.03
3/6/2015 ,103.82
3/9/2015 ,105.26
3/10/2015 ,103.09
3/11/2015 ,102.89
3/12/2015 ,107.17
3/13/2015 ,106.44
3/16/2015 ,107.37
3/17/2015 ,106.96
3/18/2015 ,107.97
3/19/2015 ,107.37
3/20/2015 ,108.43
3/23/2015 ,108.22
3/24/2015 ,107.11
3/25/2015 ,105
3/26/2015 ,105.24
3/27/2015 ,105.48
3/30/2015 ,106.12
3/31/2015 ,104.89
4/1/2015 ,105.44
4/2/2015 ,106
4/6/2015 ,105.63
4/7/2015 ,105.43
4/8/2015 ,106.36
4/9/2015 ,106.77
4/10/2015 ,106.95
4/13/2015 ,106.51
4/14/2015 ,106.66
4/15/2015 ,106.98
4/16/2015 ,108.1
4/17/2015 ,106.69
4/20/2015 ,108.22
4/21/2015 ,107.68
4/22/2015 ,107.94
4/23/2015 ,109
4/24/2015 ,109.53
4/27/2015 ,110.16
4/28/2015 ,109.92
4/29/2015 ,109.81
4/30/2015 ,108.72
5/1/2015 ,110.52
5/4/2015 ,111.03
5/5/2015 ,110.81
5/6/2015 ,109.72
5/7/2015 ,109.26
5/8/2015 ,110.11
5/11/2015 ,108.6
5/12/2015 ,109.24
5/13/2015 ,109.19
5/14/2015 ,109.93
5/15/2015 ,110.3
5/18/2015 ,110.33
5/19/2015 ,110.56
5/20/2015 ,110.2
5/21/2015 ,110.39
5/22/2015 ,110.26
5/26/2015 ,109.44
5/27/2015 ,110.37
5/28/2015 ,110.53
5/29/2015 ,110.37
6/1/2015 ,110.96
6/2/2015 ,110.75
6/3/2015 ,111.17
6/4/2015 ,110.3
6/5/2015 ,110.3
6/8/2015 ,109.29
6/9/2015 ,108.52
6/10/2015 ,110
6/11/2015 ,110.62
6/12/2015 ,109.95
6/15/2015 ,110.18
6/16/2015 ,111.06
6/17/2015 ,111.49
